sample_num,date,station,cal_dens,small_dens,euc_dens,met_dens,cen_dens,can_dens,oth_dens,eup_dens,biv_dens
1,O03,st2,21.27600011,203.4517511,0,0,93.08250049,0,78.45525041,0,3.989250021
2,O03,st5,19.37624008,240.265377,0,7.750496032,50.37822421,0,38.75248016,0,259.6416171
3,N03,st2,4882.8125,2712.673611,108.5069444,135.6336806,54.25347222,0,162.7604167,0,352.6475694
4,N03,st2,660.2894176,1080.473592,60.02631069,10564.63068,300.1315535,0,780.342039,0,420.1841748
5,N03,st2,3484.236832,3283.993336,0,841.0226836,1321.607074,0,2523.068051,0,800.9739844
6,N03,st2,138.0100723,690.0503616,0,4232.308884,138.0100723,0,184.0134298,0,184.0134298
7,N03,st3,191.5616427,4111.207562,29.47102195,58.9420439,58.9420439,0,170.9319273,0,0
8,N03,st3,14973.25412,2994.650825,332.7389805,7985.735533,1663.694903,0,332.7389805,0,0
9,N03,st5,142.3383417,116.4586432,0,25.87969849,77.63909546,0,25.87969849,0,2924.405929
10,D03,st2,13821.79281,3354.804079,0,0,536.7686527,0,536.7686527,0,30461.62104
11,D03,st2,17861.20756,7868.923611,0,1623.746142,249.8070988,0,499.6141975,0,61202.7392
12,D03,st3,8065.726291,18007.20288,0,187.57503,2250.90036,0,2250.90036,0,17444.47779
13,D03,st4,7031.25,7101.5625,0,585.9375,1828.125,0,8601.5625,0,41695.3125
14,D03,st5,3287.878788,4931.818182,0,469.6969697,234.8484848,0,1878.787879,0,32643.93939
15,J04,st2,21.8035838,111.5337171,0,356.4047351,44.44576697,0,67.08795014,0,72.95814578
16,J04,st2,1634.235974,4818.032481,8.467543904,76.20789514,601.1956172,0,2091.483344,0,584.2605294
17,J04,st2,274.1244646,322.4993701,16.12496851,435.3741497,467.6240867,0,306.3744016,0,80.62484253
18,J04,st3,10396.32161,3204.345703,0,0,8687.33724,0,783.2845052,0,5767.822266
19,J04,st3,19.27437642,17.38473167,0,1.133786848,21.54195011,0,0.755857899,0,5.291005291
