year,month,date,period,id,lat,long
2004,jan,20040119,hist,h1,-32.704,17.9918
2004,dec,20041203,hist,h2,-32.6417,17.958
2005,nov,20051104,hist,h3,-32.7165,17.9862
2007,jan,20070117,hist,h4,-32.7483,18.0233
2009,feb,20090226,hist,h5,-32.7252,18.0224
2022,nov,20221122,new,n1,-33.3007,18.13977
2022,nov,20221122,new,n2,-33.3383,18.15481
2022,nov,20221130,new,n3,-33.2459,18.09334
2022,nov,20221130,new,n4,-33.2062,18.06428
2023,jan,20230121,new,n5,-33.2405,17.98022
2023,jan,20230121,new,n6,-33.2662,18.02284
2023,jan,20230121,new,n7,-33.2859,18.05863
